what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.app,1.3.0.v20100512,"org.eclipse.equinox.app",1293053110601
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1293053110618
started,bundle,org.eclipse.equinox.ds,1.2.0.v20100507,"org.eclipse.equinox.ds",1293053110639
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1293053110642
started,bundle,org.eclipse.equinox.p2.core,2.0.0.v20100510,"org.eclipse.equinox.p2.core",1293053110642
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.200.v20100601,"org.eclipse.equinox.p2.directorywatcher",1293053110643
started,bundle,org.eclipse.equinox.p2.engine,2.0.0.v20100606,"org.eclipse.equinox.p2.engine",1293053110701
started,bundle,org.eclipse.equinox.p2.metadata,2.0.0.v20100601,"org.eclipse.equinox.p2.metadata",1293053110710
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1293053110712
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1293053110713
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.0.v20100525,"org.eclipse.equinox.p2.reconciler.dropins",1293053110713
started,bundle,org.eclipse.equinox.p2.repository,2.0.0.v20100519,"org.eclipse.equinox.p2.repository",1293053110714
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1293053110714
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.100.v20100503a,"org.eclipse.equinox.p2.updatechecker",1293053110714
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1293053110715
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1293053110715
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1293053110716
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1293053110724
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1293053110725
started,bundle,org.eclipse.jface,3.6.0.I20100601-0800,"org.eclipse.jface",1293053110725
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1293053110726
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1293053110734
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1293053110757
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1293053110777
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1293053110778
started,bundle,org.eclipse.mylyn.commons.net,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.net",1293053110778
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1293053110783
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1293053110784
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1293053110784
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1293053110795
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1293053110795
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1293053110796
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1293053110798
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1293053110813
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1293053110832
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1293053110832
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1293053110832
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1293053110833
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1293053110868
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1293053110891
started,bundle,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.resources",1293053110893
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1293053110893
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1293053110907
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1293053110920
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1293053110936
os,sysinfo,,,"linux",1293053110939
arch,sysinfo,,,"x86",1293053110939
ws,sysinfo,,,"gtk",1293053110939
locale,sysinfo,,,"es_US",1293053110939
processors,sysinfo,,,"2",1293053110939
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1293053110939
java.runtime.version,sysinfo,,,"1.6.0_18-b18",1293053110939
java.specification.name,sysinfo,,,"Java Platform API Specification",1293053110939
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1293053110939
java.specification.version,sysinfo,,,"1.6",1293053110939
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1293053110939
java.version,sysinfo,,,"1.6.0_18",1293053110939
java.vm.info,sysinfo,,,"mixed mode, sharing",1293053110939
java.vm.name,sysinfo,,,"OpenJDK Client VM",1293053110939
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1293053110939
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1293053110939
java.vm.specification.version,sysinfo,,,"1.0",1293053110939
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1293053110939
java.vm.version,sysinfo,,,"16.0-b13",1293053110939
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1293053111006
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1293053111058
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1293053111098
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1293053111189
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1293053111220
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293053129847
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293053151299
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildAll",1293053188095
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201006141710,"org.eclipse.cdt.managedbuilder.gnu.ui",1293053188248
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293053188510
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293053189482
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293053193015
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293053218536
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildAll",1293053281261
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293053283535
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293053299514
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293053301277
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293053376238
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293053376246
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293053376262
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293053377107
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293053396424
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293053404901
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293053525301
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293053525318
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293053525320
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293053525922
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293053643550
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293053646209
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293053741127
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1293053754065
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1293053764570
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1293053774497
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293053776181
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293053829517
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1293053832410
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1293053843435
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1293053845864
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1293053848268
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1293053857494
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildAll",1293053858058
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293053858428
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293053859598
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1293053879473
opened,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1293053882027
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1293053882365
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1293053886220
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildAll",1293053886768
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1293053903866
